,feat_above_sma200,feat_golden_cross,feat_adx_14,feat_days_below_sma200,feat_vix_percentile_60d,feat_trend_strength_20d
2006-04-24,0.0,0.0,17.03040252134773,0.0,0.43333333333333335,0.0007124580338552981
2006-04-25,0.0,0.0,16.08481773203581,0.0,0.45,0.0003505305117092752
2006-04-26,0.0,0.0,15.206774713389025,0.0,0.4666666666666667,-0.00010058506184419846
2006-04-27,0.0,0.0,14.889719668595005,0.0,0.5,-0.00014553666071406897
2006-04-28,0.0,0.0,14.59531141271484,0.0,0.38333333333333336,-0.000296440583882294
2006-05-01,0.0,0.0,13.978194465572118,0.0,0.7833333333333333,-0.0006301352659654879
2006-05-02,0.0,0.0,13.405157300368161,0.0,0.6166666666666667,-0.0008837985137385782
2006-05-03,0.0,0.0,13.160521223510651,0.0,0.6333333333333333,-0.0010583217177783488
2006-05-04,0.0,0.0,12.438430180071071,0.0,0.55,-0.0009285691836599076
2006-05-05,0.0,0.0,12.2821007820898,0.0,0.4166666666666667,-0.0006165185887987829
2006-05-08,0.0,0.0,12.295998580039651,0.0,0.6833333333333333,-0.0004309927485879764
2006-05-09,0.0,0.0,12.013508660770267,0.0,0.6833333333333333,-0.00031960079507685246
2006-05-10,0.0,0.0,11.663083412559738,0.0,0.5166666666666667,-0.0004561434069797422
2006-05-11,0.0,0.0,13.007794311024599,0.0,0.8833333333333333,-0.000916317291234075
2006-05-12,0.0,0.0,14.837695242910945,0.0,1.0,-0.0014689618379971246
2006-05-15,0.0,0.0,16.968692161175152,0.0,0.9833333333333333,-0.0021227116870117767
2006-05-16,0.0,0.0,18.968857419909888,0.0,0.9666666666666667,-0.002530284085416671
2006-05-17,0.0,0.0,21.360456333978906,0.0,1.0,-0.0029824679136576716
2006-05-18,0.0,0.0,23.780562031735695,0.0,1.0,-0.003454602441687313
2006-05-19,0.0,0.0,26.233324551556926,0.0,1.0,-0.003836210322913857
2006-05-22,0.0,0.0,28.614841620211006,0.0,1.0,-0.004338790700325934
2006-05-23,0.0,0.0,30.384693581157155,0.0,1.0,-0.004912254237176216
2006-05-24,0.0,0.0,32.33439503318714,0.0,0.9666666666666667,-0.005188066668205131
2006-05-25,0.0,0.0,33.1295579751571,0.0,0.9,-0.004964965761043439
2006-05-26,0.0,0.0,33.31434964997869,0.0,0.8833333333333333,-0.004799730196049617
2006-05-30,0.0,0.0,34.18749299591668,0.0,1.0,-0.005143099353779682
2006-05-31,0.0,0.0,35.06921815080189,0.0,0.9,-0.005136490211469726
2006-06-01,0.0,0.0,34.21091180413087,0.0,0.85,-0.00462423037627771
2006-06-02,0.0,0.0,32.86990498676491,0.0,0.8333333333333334,-0.004075779555812706
2006-06-05,0.0,0.0,32.3472162595918,0.0,0.9,-0.003691151909652679
2006-06-06,0.0,0.0,32.36505125497275,0.0,0.9333333333333333,-0.0030822215796152933
2006-06-07,0.0,0.0,31.912286658585113,0.0,0.9666666666666667,-0.0025275746415402644
2006-06-08,0.0,0.0,32.4898838788814,0.0,0.9833333333333333,-0.0019869985095627607
2006-06-09,0.0,0.0,32.65884209264945,0.0,0.95,-0.001801553498005619
2006-06-12,0.0,0.0,33.45151998838642,0.0,1.0,-0.0020497752894007436
2006-06-13,0.0,0.0,34.367936614124744,0.0,1.0,-0.0022285903012071923
2006-06-14,0.0,0.0,35.21889490945319,0.0,0.9833333333333333,-0.0022402519225914156
2006-06-15,0.0,0.0,33.956357582053464,0.0,0.7333333333333333,-0.001971226005590773
2006-06-16,0.0,0.0,32.784001492325146,0.0,0.8166666666666667,-0.0019759867979256174
2006-06-19,0.0,0.0,32.034947746218116,0.0,0.8833333333333333,-0.0019446456931323673
