,feat_daily_return,feat_return_5d,feat_return_10d,feat_return_20d,feat_dist_sma20,feat_dist_sma50,feat_dist_sma200,feat_hl_range_pct,feat_close_position,feat_overnight_gap,feat_intraday_return
2007-04-12,,,,,,,,0.01503586508744825,0.9104511603543692,,0.0095152240473541
2007-04-13,0.0020197520155786908,,,,,,,0.009630465632270031,0.8372101275704832,0.00022437884257328717,0.0017949704196201257
2007-04-16,0.009182527063845036,,,,,,,0.007101635265681466,0.7187492549412298,0.0040313616802779735,0.0051304825528024536
2007-04-17,0.0022192292737115427,,,,,,,0.005314474740427843,0.8333306842565366,0.00199734020960855,0.00022144675958587343
2007-04-18,-0.0033215572716062125,,,,,,,0.008886863499176759,0.44999380108147286,-0.00509299253794192,0.0017805033566449004
2007-04-19,0.0031104912145425434,0.013240577522547703,,,,,,0.011738621514621485,0.8113231991708413,-0.004443389373478539,0.007587595228027545
2007-04-20,0.005537098373223914,0.016797311855976105,,,,,,0.010352365423114612,0.42553588675968085,0.008194881935334842,-0.002636180375176143
2007-04-23,0.0015418434465099828,0.009098975475289928,,,,,,0.005718018793780352,0.5000073360036523,0.0013215320831993847,0.00022002059902999615
2007-04-24,0.005058269981563335,0.011957504812929898,,,,,,0.010940918854545763,0.7399978637695312,0.003518800156514164,0.0015340717331942442
2007-04-25,0.01334793435815973,0.028882539440928667,,,,,,0.013388013679531996,0.983873647164506,0.003282225572811688,0.010032778941739037
2007-04-26,0.005182419707461916,0.031007700196404198,0.04465883757719813,,,,,0.0068743222356371725,0.6874925494122976,0.002375227648292336,0.0028005401388017347
2007-04-27,0.00042965538327544017,0.02577088391238025,0.043001077342236904,,,,,0.008803947822608139,0.6829241061044483,-0.003866816501094052,0.004313150044131861
2007-04-30,-0.01309857449750762,0.010776288775343756,0.019973317437915306,,,,,0.013272424336441189,0.06557520574330164,-0.0017178015220453789,-0.011400356525253189
2007-05-01,-0.0008703419565745385,0.004813947534641372,0.016829015148385862,,,,,0.010452952120563047,0.5416636864315857,0.0002176269893322935,-0.0010877322260172803
2007-05-02,0.010888502176338077,0.002375227648292233,0.03132636969545399,,,,,0.01141754879147559,0.6981077754665784,0.003702133937747993,0.007159861472443344
