,feat_vix_close,feat_vix_change_5d,feat_vix_change_10d,feat_realized_vol_10d,feat_realized_vol_20d,feat_iv_rv_ratio,feat_bb_position,feat_bb_width
2004-11-19,13.5,,,,,,,
2004-11-22,12.970000267028809,,,,,,,
2004-11-23,12.670000076293944,,,,,,,
2004-11-24,12.720000267028809,,,,,,,
2004-11-26,12.779999732971191,,,,,,,
2004-11-29,13.300000190734863,-0.014814800686306473,,,,,,
2004-11-30,13.239999771118164,0.02081723196072116,,,,,,
2004-12-01,12.970000267028809,0.02367799439055851,,,,,,
2004-12-02,12.979999542236328,0.020440194162688607,,,,,,
2004-12-03,12.960000038146973,0.01408453121570874,,,,,,
2004-12-06,13.1899995803833,-0.00827072246421412,-0.022962994045681473,0.11323249253327282,,,,
2004-12-07,13.670000076293944,0.03247736500069931,0.05397068580211317,0.15060646596904786,,,,
2004-12-08,13.1899995803833,0.01696216721858934,0.041041791709401476,0.15116916788238102,,,,
2004-12-09,12.880000114440918,-0.007704116434674502,0.012578604092237322,0.1484733054649051,,,,
2004-12-10,12.760000228881836,-0.015432084002812485,-0.001564906455964854,0.1484229375462377,,,,
2004-12-13,12.539999961853027,-0.049279730038580105,-0.05714287353253367,0.15171990607881947,,,,
2004-12-14,12.729999542236328,-0.06876375485086739,-0.03851965541527835,0.14962337725510994,,,,
2004-12-15,12.350000381469728,-0.063684550844327,-0.04780261162639987,0.11948329210596281,,,,
2004-12-16,12.270000457763672,-0.04736022137090834,-0.0546994691457694,0.12906983709886286,,,,
2004-12-17,11.949999809265137,-0.06347965557110968,-0.07793211619667917,0.14121863526095238,,,0.3917749986772464,0.05179551692351384
2004-12-20,11.829999923706056,-0.05661882299097354,-0.1031083927174562,0.1402203894199334,0.13558328295941555,0.8725264402431646,0.22633884910198654,0.047702638939378234
2004-12-21,11.550000190734863,-0.09269437501442124,-0.15508411658574262,0.13213063257825006,0.13817994307535292,0.8358666195452378,0.4609759172201152,0.04512619045233503
2004-12-22,11.449999809265137,-0.07287453800851507,-0.13191810663178205,0.12872206614587697,0.13790871870546756,0.8302593133157133,0.4655264202743675,0.04155782944992522
2004-12-23,11.229999542236328,-0.0847596476550494,-0.12810563334969438,0.12424672244126868,0.13484269335396654,0.8328222510920341,0.4696866485913388,0.0401927653486924
2004-12-27,12.140000343322754,0.015899626534747302,-0.048589331852497364,0.12506923216602706,0.1353474151596641,0.8969510299847003,0.3435975724064977,0.038127389961301876
