date,signal,leverage_level,ticker,shares,prob_up,tqqq_alloc,sqqq_alloc,cash_alloc,vol_adjusted,actual_return,strategy_return,daily_pnl,equity,prediction,actual,correct,was_stopped
2020-01-02,CASH,0,,0,0.5579,0.0,0.0,1.0,False,-0.0091599322390052,0.0,0.0,50000.0,1,0,0,False
2020-01-03,CASH,0,,0,0.6407,0.0,0.0,1.0,False,0.0064432016528335,0.0,0.0,50000.0,1,1,1,False
2020-01-06,LONG,100,TQQQ,1465,0.6566,0.33,0.0,0.67,False,-0.0001391667268351,-0.000989,-49.44,49950.56,1,0,0,False
2020-01-07,LONG,100,TQQQ,1466,0.6869,0.33,0.0,0.67,False,0.0075163324194438,0.007007,350.01,50300.56,1,1,1,False
2020-01-08,LONG,100,TQQQ,1443,0.6724,0.33,0.0,0.67,False,0.0084734591222546,0.007746,389.61,50690.17,1,1,1,False
2020-01-09,CASH,0,,0,0.5356,0.0,0.0,1.0,False,-0.0025572528578264,0.0,0.0,50690.17,1,0,0,False
2020-01-10,LONG,100,TQQQ,1430,0.6646,0.33,0.0,0.67,False,0.0115368967493461,0.010967,555.91,51246.09,1,1,1,False
2020-01-13,CASH,0,,0,0.5342,0.0,0.0,1.0,False,-0.0039375203856251,0.0,0.0,51246.09,1,0,0,False
2020-01-14,LONG,100,TQQQ,1413,0.7553,0.33,0.0,0.67,True,0.0004089255595323,-0.000345,-17.66,51228.43,1,1,1,False
2020-01-15,LONG,100,TQQQ,1412,0.7934,0.33,0.0,0.67,True,0.0095835065081504,0.008648,443.01,51671.44,1,1,1,False
2020-01-16,CASH,0,,0,0.5342,0.0,0.0,1.0,False,0.0049487408203912,0.0,0.0,51671.44,1,1,1,False
2020-01-17,CASH,0,,0,0.5278,0.0,0.0,1.0,False,-0.0004476949652144,0.0,0.0,51671.44,1,0,0,False
2020-01-21,LONG,100,TQQQ,1366,0.6947,0.33,0.0,0.67,False,0.0026424056839673,0.001718,88.79,51760.23,1,1,1,False
2020-01-22,LONG,100,TQQQ,1359,0.8776,0.33,0.0,0.67,True,0.0032161577540852,0.002527,130.8,51891.03,1,1,1,False
2020-01-23,CASH,0,,0,0.5515,0.0,0.0,1.0,False,-0.0084153320293259,0.0,0.0,51891.03,1,0,0,False
2020-01-24,LONG,100,TQQQ,1386,0.7553,0.33,0.0,0.67,True,-0.0206555496531761,-0.022503,-1167.71,50723.33,1,0,0,True
2020-01-27,CASH,0,,0,0.3911,0.0,0.0,1.0,False,0.0153598842318996,0.0,0.0,50723.33,0,1,0,False
2020-01-28,CASH,0,,0,0.4499,0.0,0.0,1.0,False,0.0016256519092914,0.0,0.0,50723.33,0,1,0,False
2020-01-29,LONG,100,TQQQ,1375,0.6869,0.33,0.0,0.67,False,0.0035616453433899,-0.008758,-444.26,50279.07,1,1,1,True
2020-01-30,CASH,0,,0,0.6185,0.0,0.0,1.0,False,-0.0158580354110829,0.0,0.0,50279.07,1,0,0,False
2020-01-31,CASH,0,,0,0.4975,0.0,0.0,1.0,False,0.0151093141367135,0.0,0.0,50279.07,0,1,0,False
2020-02-03,CASH,0,,0,0.4658,0.0,0.0,1.0,False,0.0228887320178488,0.0,0.0,50279.07,0,1,0,False
2020-02-04,LONG,100,TQQQ,1268,0.8776,0.33,0.0,0.67,True,0.003297138066449,0.00331,166.42,50445.5,1,1,1,False
2020-02-05,CASH,0,,0,0.4355,0.0,0.0,1.0,False,0.008632027036044,0.0,0.0,50445.5,0,1,0,False
2020-02-06,CASH,0,,0,0.604,0.0,0.0,1.0,False,-0.0043008188134324,0.0,0.0,50445.5,1,0,0,False
2020-02-07,LONG,100,TQQQ,1244,0.6724,0.33,0.0,0.67,False,0.0120855336358771,0.011405,575.35,51020.85,1,1,1,False
2020-02-10,CASH,0,,0,0.5501,0.0,0.0,1.0,False,0.0001724071471413,0.0,0.0,51020.85,1,1,1,False
2020-02-11,LONG,100,TQQQ,1213,0.8315,0.33,0.0,0.67,True,0.0097410017634318,0.009183,468.52,51489.37,1,1,1,False
2020-02-12,CASH,0,,0,0.5039,0.0,0.0,1.0,False,-0.0012805867003309,0.0,0.0,51489.37,1,0,0,False
2020-02-13,CASH,0,,0,0.5198,0.0,0.0,1.0,False,0.0028636071524115,0.0,0.0,51489.37,1,1,1,False
2020-02-14,CASH,0,,0,0.4277,0.0,0.0,1.0,False,0.0003835507079981,0.0,0.0,51489.37,0,1,0,False
2020-02-18,LONG,100,TQQQ,1184,0.671,0.33,0.0,0.67,False,0.0095854813656268,0.009083,467.68,51957.05,1,1,1,False
2020-02-19,CASH,0,,0,0.5501,0.0,0.0,1.0,False,-0.0092834711279662,0.0,0.0,51957.05,1,0,0,False
2020-02-20,CASH,0,,0,0.6424,0.0,0.0,1.0,False,-0.0192094494006517,0.0,0.0,51957.05,1,0,0,False
2020-02-21,CASH,0,,0,0.604,0.0,0.0,1.0,False,-0.0385634460331422,0.0,0.0,51957.05,1,0,0,False
2020-02-24,CASH,0,,0,0.5579,0.0,0.0,1.0,False,-0.0271918527894553,0.0,0.0,51957.05,1,0,0,False
2020-02-25,CASH,0,,0,0.6199,0.0,0.0,1.0,False,0.0051539241097515,0.0,0.0,51957.05,1,1,1,False
2020-02-26,LONG,100,TQQQ,1538,0.7091,0.33,0.0,0.67,False,-0.0500738939016507,-0.025938,-1347.67,50609.38,1,0,0,True
2020-02-27,LONG,100,TQQQ,1762,0.6551,0.33,0.0,0.67,False,0.0007780765540958,-0.032944,-1667.29,48942.08,1,1,1,True
2020-02-28,LONG,100,TQQQ,1678,0.7631,0.33,0.0,0.67,True,0.0516034740510504,0.044357,2170.91,51113.0,1,1,1,False
2020-03-02,CASH,0,,0,0.6104,0.0,0.0,1.0,False,-0.0320672881439942,0.0,0.0,51113.0,1,0,0,False
2020-03-03,CASH,0,,0,0.604,0.0,0.0,1.0,False,0.0417223872036536,0.0,0.0,51113.0,1,1,1,False
2020-03-04,CASH,0,,0,0.3752,0.0,0.0,1.0,False,-0.0303822053236404,0.0,0.0,51113.0,0,0,1,False
2020-03-05,LONG,100,TQQQ,1664,0.671,0.33,0.0,0.67,False,-0.0168722157342863,-0.034671,-1772.16,49340.84,1,0,0,True
2020-03-06,CASH,0,,0,0.5659,0.0,0.0,1.0,False,-0.069464458472541,0.0,0.0,49340.84,1,0,0,False
2020-03-09,LONG,100,TQQQ,2127,0.7013,0.33,0.0,0.67,False,0.0544505496064735,0.050491,2491.25,51832.09,1,1,1,False
2020-03-10,CASH,0,,0,0.5515,0.0,0.0,1.0,False,-0.0435549427419755,0.0,0.0,51832.09,1,0,0,False
2020-03-11,LONG,100,TQQQ,2219,0.6566,0.33,0.0,0.67,False,-0.0916913932207581,-0.065929,-3417.26,48414.83,1,0,0,True
2020-03-12,LONG,100,TQQQ,2855,0.7091,0.33,0.0,0.67,False,0.0847055515072745,0.087865,4253.95,52668.78,1,1,1,False
2020-03-13,CASH,0,,0,0.5804,0.0,0.0,1.0,False,-0.119787843011381,0.0,0.0,52668.78,1,0,0,False
2020-03-16,LONG,100,TQQQ,3732,0.7313,0.33,0.0,0.67,False,0.0758416781242776,-0.009632,-507.33,52161.45,1,1,1,True
2020-03-17,CASH,0,,0,0.5342,0.0,0.0,1.0,False,-0.0304161266316972,0.0,0.0,52161.45,1,0,0,False
2020-03-18,LONG,100,TQQQ,3503,0.6724,0.33,0.0,0.67,False,0.0060022509737198,-0.00956,-498.66,51662.79,1,1,1,True
2020-03-19,CASH,0,,0,0.3974,0.0,0.0,1.0,False,-0.0391759910525747,0.0,0.0,51662.79,0,0,1,False
2020-03-20,LONG,100,TQQQ,3840,0.6869,0.33,0.0,0.67,False,-0.0014059182112801,-0.009702,-501.22,51161.57,1,0,0,True
2020-03-23,CASH,0,,0,0.4499,0.0,0.0,1.0,False,0.0774375010462102,0.0,0.0,51161.57,0,1,0,False
2020-03-24,CASH,0,,0,0.5025,0.0,0.0,1.0,False,-0.0074049906524751,0.0,0.0,51161.57,1,0,0,False
2020-03-25,CASH,0,,0,0.5183,0.0,0.0,1.0,False,0.0526603987055391,0.0,0.0,51161.57,1,1,1,False
2020-03-26,CASH,0,,0,0.5198,0.0,0.0,1.0,False,-0.0343928663608337,0.0,0.0,51161.57,1,0,0,False
2020-03-27,LONG,100,TQQQ,3046,0.6947,0.33,0.0,0.67,False,0.0363733951612099,0.033489,1713.37,52874.95,1,1,1,False
2020-03-30,CASH,0,,0,0.5579,0.0,0.0,1.0,False,-0.0085398846437412,0.0,0.0,52874.95,1,0,0,False
2020-03-31,CASH,0,,0,0.3974,0.0,0.0,1.0,False,-0.0424894779266066,0.0,0.0,52874.95,0,0,1,False
2020-04-01,CASH,0,,0,0.512,0.0,0.0,1.0,False,0.0202950852821615,0.0,0.0,52874.95,1,1,1,False
2020-04-02,CASH,0,,0,0.6343,0.0,0.0,1.0,False,-0.0141927824719734,0.0,0.0,52874.95,1,0,0,False
