bull_threshold,bear_threshold,max_position_pct,scaling,sharpe_ratio,annual_return,total_return,max_drawdown,sortino_ratio,win_rate,profit_factor,trade_frequency
0.6,0.4,0.25,quadratic,-0.4119,0.0269,0.1723,-0.0461,-0.6689,0.5091,1.3696,0.4715
0.6,0.4,0.25,step,0.0507,0.042,0.28,-0.0765,0.0764,0.5443,1.3147,0.4715
0.6,0.4,0.33,linear,0.3685,0.064,0.4509,-0.1168,0.5446,0.5471,1.3039,0.4715
0.6,0.4,0.33,quadratic,-0.0432,0.038,0.2503,-0.0602,-0.0695,0.5331,1.387,0.4715
0.6,0.4,0.33,step,0.2793,0.0556,0.3829,-0.0997,0.4188,0.5471,1.312,0.4715
0.6,0.4,0.5,linear,0.5883,0.0988,0.759,-0.1738,0.8702,0.5485,1.3059,0.4715
0.6,0.4,0.5,quadratic,0.2402,0.0546,0.3751,-0.0921,0.3819,0.5359,1.3641,0.4715
0.6,0.4,0.5,step,0.5617,0.0883,0.6609,-0.1494,0.8428,0.5485,1.3243,0.4715
0.6,0.4,0.75,linear,0.7218,0.1482,1.2902,-0.2498,1.066,0.5485,1.3053,0.4715
0.6,0.4,0.75,quadratic,0.4845,0.0851,0.6314,-0.1369,0.7663,0.5471,1.3728,0.4715
0.6,0.4,0.75,step,0.6703,0.1258,1.0353,-0.2172,1.0014,0.5485,1.3055,0.4715
0.6,0.4,1.0,linear,0.7806,0.1934,1.8866,-0.3206,1.1508,0.5499,1.3023,0.4715
0.6,0.4,1.0,quadratic,0.5867,0.1125,0.8945,-0.1799,0.9261,0.5485,1.3705,0.4715
0.6,0.4,1.0,step,0.7643,0.1705,1.5705,-0.2792,1.1435,0.5485,1.3112,0.4715
0.65,0.35,0.25,linear,0.0109,0.0403,0.2671,-0.0696,0.0167,0.5401,1.3323,0.4715
0.65,0.35,0.25,quadratic,-0.6133,0.0225,0.1426,-0.0359,-1.0454,0.4782,1.4261,0.4715
0.65,0.35,0.25,step,0.0507,0.042,0.28,-0.0765,0.0764,0.5443,1.3147,0.4715
0.65,0.35,0.33,linear,0.2532,0.0539,0.3703,-0.0912,0.3845,0.5457,1.3316,0.4715
0.65,0.35,0.33,quadratic,-0.2701,0.0296,0.1911,-0.0474,-0.4557,0.4909,1.4216,0.4715
0.65,0.35,0.33,step,0.2793,0.0556,0.3829,-0.0997,0.4188,0.5471,1.312,0.4715
0.65,0.35,0.5,linear,0.4824,0.0806,0.5917,-0.1365,0.7267,0.5485,1.3228,0.4715
0.65,0.35,0.5,quadratic,0.1103,0.0456,0.3064,-0.0738,0.1836,0.5063,1.4235,0.4715
0.65,0.35,0.5,step,0.5617,0.0883,0.6609,-0.1494,0.8428,0.5485,1.3243,0.4715
0.65,0.35,0.75,linear,0.6446,0.1215,0.9884,-0.1994,0.9707,0.5485,1.3238,0.4715
0.65,0.35,0.75,quadratic,0.3556,0.069,0.492,-0.1109,0.5817,0.5345,1.4173,0.4715
0.65,0.35,0.75,step,0.6703,0.1258,1.0353,-0.2172,1.0014,0.5485,1.3055,0.4715
0.65,0.35,1.0,linear,0.7261,0.1622,1.4622,-0.2568,1.0938,0.5485,1.3241,0.4715
0.65,0.35,1.0,quadratic,0.4642,0.0902,0.6788,-0.1457,0.7553,0.5373,1.4129,0.4715
0.65,0.35,1.0,step,0.7643,0.1705,1.5705,-0.2792,1.1435,0.5485,1.3112,0.4715
